id,OBJECTID,FULL_,GEOID,LABEL,STATEFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
34,35,Phillips County,08095,Phillips,08,PHILLIPS,095,19.0,4266.0,445.38,17.0,2.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.189577963613374,1.84809838653474
35,36,Ouray County,08091,Ouray,08,OURAY,091,12.0,4798.0,250.1,12.0,0.0,1.0,1.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.144347976659674,2.22546024391623
36,37,Bent County,08011,Bent,08,BENT,011,5.0,5819.0,85.93,5.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.409167926002738,2.57239140514481
37,38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,24.0,13737.0,174.71,24.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.356264414261886,2.77748645536479
38,39,Routt County,08107,Routt,08,ROUTT,107,94.0,25683.0,366.0,93.0,1.0,6.0,6.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.651459520021035,4.10509579084708
39,40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,3.0,804.0,-1.0,3.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.29767108910778,2.84695016312372
40,41,Weld County,08123,Weld,08,WELD,123,3319.0,314251.0,1056.16,3293.0,26.0,139.0,139.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",1.10610954447702,5.09979297775078
41,42,Larimer County,08069,Larimer,08,LARIMER,069,1183.0,350362.0,337.65,1158.0,25.0,32.0,32.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.726530757031469,3.89982681544696
42,43,Lake County,08065,Lake,08,LAKE,065,61.0,7762.0,785.88,60.0,1.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.103687200717559,1.72745358078377
43,44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,84.0,11226.0,748.26,84.0,0.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.241033137835757,2.21073822643431
44,45,Gilpin County,08047,Gilpin,08,GILPIN,047,13.0,6097.0,213.22,13.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.0409605716740771,0.973252095597924
45,46,Yuma County,08125,Yuma,08,YUMA,125,56.0,10029.0,558.38,56.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.647060268172481,3.24382405750967
46,47,Jackson County,08057,Jackson,08,JACKSON,057,8.0,1396.0,573.07,8.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.447106418412659,3.77163984101511
